drug,indication,company,pdufa_date,fda_date_no_pdufa,source_url
Ryoncil (remestemcel),Steroid-refractory acute graft versus host disease,Mesoblast Limited,1.7.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Tabelecleucel (Tab-cel),Epstein-Barr Virus Positive Post-Transplant Lymphoproliferative Disease,Atara Biotherapeutics,1.15.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Vimseltinib,Tenosynovial giant cell tumor (TGCT),Deciphera Pharmaceuticals,2.17.2025﻿,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Ctexli (chenodiol),Cerebrotendinous xanthomatosis,Mirum Therapeutics,2.21.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Mirdametinib,Neurofibromatosis type 1-associated plexiform neurofibromas (NF1-PN),Springworks Therapeutics,2.28.2025﻿,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Encelto (revakinagene taroretcel-lwey),Macular telangiectasia type 2 (MacTel),Neurotech Pharmaceuticals,3.6.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Fabhalta (iptacopan),C3 glomerulopathy (C3G),Novartis,3.20.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Rivoceranib/Camrelizumab,Unresectable or metastatic hepatocellular carcinoma,Elevar Therapeutics,3.20.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Vutrisiran,ATTR-CM,Alnylam Pharmaceuticals,3.23.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Diazoxide choline (DCCR),Prader-Willi syndrome,Soleno Therapeutics,3.27.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Fitusiran,Hemophilia A or B,Sanofi,3.28.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Vanrafia (atrasentan),IgA nephropathy,Novartis,4.2.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Uplizna (inebilizumab),Immunoglobulin G4-related disease (IgG4-RD),Amgen,4.3.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Nivolumab plus ipilimumab,Hepatocellular carcinoma (HCC),Bristol Myers Squibb,4.21.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Prademagene zamikeracel (pz-cel),Epidermolysis bullosa,Abeona Therapeutics,4.29.2025﻿,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Elamipretide,Barth syndrome,Stealth BioTherapeutics,4.29.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Nipocalimab,Generalized myasthenia gravis,Johnson & Johnson,4.30.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Yutrepia (treprostinil),Pulmonary arterial hypertension,Liquidia Corporation,5.24.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Welireg (belzutifan),Advanced pheochromocytoma and paraganglioma (PPGL),Merck,5.26.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Khindivi (hydrocortisone),Pediatric adrenal insufficiency,Eton Pharmaceuticals,5.28.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Sebetralstat,Hereditary angioedema,KalVista Pharmaceuticals,6.17.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
