drug,indication,company,pdufa_date,fda_date_no_pdufa,source_url
,08/21/2025 FDA decision on donidalorsen for the treatment of hereditary angioedema,,,2025-08-21,https://www.rttnews.com/corpinfo/fdacalendar.aspx?PageNum=6
,08/21/2025 FDA decision on donidalorsen for prophylaxis to prevent attacks of hereditary angioedema,,,2025-08-21,https://www.rttnews.com/corpinfo/fdacalendar.aspx?PageNum=6
,08/27/2025 FDA decision on ONS-5010 for the treatment of wet age-related macular degeneration,,,2025-08-27,https://www.rttnews.com/corpinfo/fdacalendar.aspx?PageNum=6
,08/27/2025 FDA decision on PRGN-2012 for the treatment of adults with recurrent respiratory papillom,,,2025-08-27,https://www.rttnews.com/corpinfo/fdacalendar.aspx?PageNum=6
,08/27/2025 FDA decision on investigational kidney cancer PET imaging agent TLX250-CDx,,,2025-08-27,https://www.rttnews.com/corpinfo/fdacalendar.aspx?PageNum=6
,08/28/2025 FDA decision on sNDA requesting modification of liver monitoring REMS requirement for FIL,,,2025-08-28,https://www.rttnews.com/corpinfo/fdacalendar.aspx?PageNum=6
,08/28/2025 FDA decision on sNDA requesting modification of liver monitoring for FILSPARI in IgAN,,,2025-08-28,https://www.rttnews.com/corpinfo/fdacalendar.aspx?PageNum=6
,08/29/2025 FDA decision on Rilzabrutinib for potential use in immune thrombocytopenia (ITP),,,2025-08-29,https://www.rttnews.com/corpinfo/fdacalendar.aspx?PageNum=6
,08/31/2025 FDA decision on Deramiocel to treat Duchenne muscular dystrophy cardiomyopathy,,,2025-08-31,https://www.rttnews.com/corpinfo/fdacalendar.aspx?PageNum=6
,"FDA declined to approve Deramiocel for Duchenne Muscular Dystrophy on July 11, 2025-",,,2025-07-11,https://www.rttnews.com/corpinfo/fdacalendar.aspx?PageNum=6
,08/31/2025 FDA decision on LEQEMBI subcutaneous autoinjector for weekly maintenance dosing for treat,,,2025-08-31,https://www.rttnews.com/corpinfo/fdacalendar.aspx?PageNum=6
,,,,2025-03-19,https://www.rttnews.com/corpinfo/fdacalendar.aspx?PageNum=6
,"March 19, 2025 09:33 ET This week's video covers several intriguing topics: a merger of two pharma c",,,2025-03-19,https://www.rttnews.com/corpinfo/fdacalendar.aspx?PageNum=6
,,,,2025-09-12,https://www.rttnews.com/corpinfo/fdacalendar.aspx?PageNum=6
,,,,2025-09-12,https://www.rttnews.com/corpinfo/fdacalendar.aspx?PageNum=6
,,,,2025-09-11,https://www.rttnews.com/corpinfo/fdacalendar.aspx?PageNum=6
,"[**MODD, GALT, XCUR, PEPG, BSGM Stocks Pop After Hours On Clinical Updates And Strategic Moves** Sep",,,2025-09-12,https://www.rttnews.com/corpinfo/fdacalendar.aspx?PageNum=6
,"Several biotech stocks made sharp moves in after-hours trading on Thursday, September 11, 2025, driv",,,2025-09-11,https://www.rttnews.com/corpinfo/fdacalendar.aspx?PageNum=6
,- [Tempus AI Receives FDA Clearance For Updated Tempus Pixel](https://www.rttnews.com/3573492/tempus,,,2025-09-11,https://www.rttnews.com/corpinfo/fdacalendar.aspx?PageNum=6
,"- [Amylyx, Amneal, And Argenx Hit 52-Week Highs Amid Drug Pipeline Momentum And Strategic Catalysts]",,,2025-09-11,https://www.rttnews.com/corpinfo/fdacalendar.aspx?PageNum=6
