drug,indication,company,pdufa_date,fda_date_no_pdufa,source_url
Mitapivat,,Agios Pharmaceuticals,,2025-02-13,https://www.benzinga.com/pressreleases/25/02/g43687696/agios-phase-3-activate-kids-study-of-mitapivat-in-children-with-pyruvate-kinase-pk-deficiency-not-
ANX007,,Annexon,,2025-02-13,https://www.benzinga.com/pressreleases/25/02/g43692147/annexon-announces-presentations-highlighting-anx007-functional-and-structural-differentiation-in-g
BCDA-03,,BioCardia,,2025-02-13,https://www.benzinga.com/pressreleases/25/02/g43692141/biocardia-reports-completion-of-low-dose-cohort-enrollment-for-cardiallo-phase-iii-clinical-trial-
BP1001-A,,Bio-Path Holdings,,2025-02-13,https://www.benzinga.com/pressreleases/25/02/g43690774/bio-path-holdings-provides-key-clinical-updates
AZD1656,,,,2025-02-13,https://www.benzinga.com/pressreleases/25/02/g43690749/conduit-pharmaceuticals-partners-with-charles-river-in-clinically-relevant-systemic-lupus-erythema
Oncoprex,,Genprex,,2025-02-13,https://www.benzinga.com/pressreleases/25/02/n43691635/genprex-collaborators-find-nprl2-gene-therapy-using-oncoprex-delivery-system-is-a-potential-treatm
IDE397,,IDEAYA Biosciences,,2025-02-13,https://www.benzinga.com/pressreleases/25/02/n43687015/ideaya-announces-further-gilead-sciences-clinical-study-collaboration-evaluating-combination-of-tr
Nipocalimab,,Johnson & Johnson,,2025-02-13,https://www.benzinga.com/pressreleases/25/02/n43691284/new-nipocalimab-data-published-in-mabs-journal-details-differentiated-molecular-design-clinical-pr
CGuard,,InspireMD,,2025-02-13,https://www.benzinga.com/pressreleases/25/02/g43688508/inspiremd-and-namsa-to-partner-on-cguardians-ii-pivotal-clinical-trial-of-the-cguard-prime-80-cm-c
AVERSA,,Nutriband Inc.,,2025-02-13,https://www.benzinga.com/pressreleases/25/02/g43688524/nutriband-and-kindeva-drug-delivery-formalize-exclusive-development-partnership-for-aversa-fentany
Mevrometostat,,,,2025-02-13,https://unusualwhales.com/fda-calendar
RenovoCath,,RenovoRx,,2025-02-13,https://www.benzinga.com/pressreleases/25/02/b43690828/renovorx-highlights-promising-pre-clinical-data-abstract-tamp-therapy-platform-offers-potential-to
TCB008,,TC BioPharm,,2025-02-13,https://www.benzinga.com/pressreleases/25/02/n43692157/tcbp-announces-successful-completion-of-cohort-a-in-the-achieve-clinical-trial
Sabizabulin (VERACITY),,,,2025-02-13,https://www.benzinga.com/pressreleases/25/02/g43687694/veru-reports-fiscal-2025-first-quarter-financial-results-and-clinical-program-progress
5-in-1 meningococcal ABCWY,,,,2025-02-14,https://unusualwhales.com/fda-calendar
Vimseltinib,,,,2025-02-17,https://unusualwhales.com/fda-calendar
FABHALTA,,,,2025-02-24,https://unusualwhales.com/fda-calendar
IZERVAY,,,,2025-02-26,https://unusualwhales.com/fda-calendar
ET-400,,,,2025-02-28,https://unusualwhales.com/fda-calendar
Mirdametinib,,,,2025-02-28,https://unusualwhales.com/fda-calendar
FUROSCIX,,,,2025-03-06,https://unusualwhales.com/fda-calendar
Neffy 1 mg,,,,2025-03-06,https://unusualwhales.com/fda-calendar
VTAMA,,,,2025-03-12,https://unusualwhales.com/fda-calendar
Vutrisiran,,,,2025-03-23,https://unusualwhales.com/fda-calendar
TLX007-CDx,,,,2025-03-24,https://unusualwhales.com/fda-calendar
Gepotidacin,,,,2025-03-26,https://unusualwhales.com/fda-calendar
CARDAMYST,,,,2025-03-26,https://unusualwhales.com/fda-calendar
CARDAMYST,,,,2025-03-27,https://unusualwhales.com/fda-calendar
Diazoxide Choline Controlled-Release tablet,,,,2025-03-27,https://unusualwhales.com/fda-calendar
Fitusiran,,,,2025-03-28,https://unusualwhales.com/fda-calendar
Chenodiol,,,,2025-03-28,https://unusualwhales.com/fda-calendar
Fitusiran,,,,2025-03-28,https://unusualwhales.com/fda-calendar
Reproxalap,,,,2025-04-02,https://unusualwhales.com/fda-calendar
CABOMETYX,,,,2025-04-03,https://unusualwhales.com/fda-calendar
VYVGART SC pre-filled syringe,,,,2025-04-10,https://unusualwhales.com/fda-calendar
Dupixent,,,,2025-04-18,https://unusualwhales.com/fda-calendar
Dupixent,,,,2025-04-18,https://unusualwhales.com/fda-calendar
Opdivo plus Yervoy,,,,2025-04-21,https://unusualwhales.com/fda-calendar
TLX101-CDx,,,,2025-04-26,https://unusualwhales.com/fda-calendar
Pz-cel,,,,2025-04-29,https://unusualwhales.com/fda-calendar
Imetelstat,,,,2025-05-01,https://unusualwhales.com/fda-calendar
INZ-701,,,,2025-05-01,https://unusualwhales.com/fda-calendar
Pelacarsen,,,,2025-05-01,https://unusualwhales.com/fda-calendar
VLA15,,,,2025-05-01,https://unusualwhales.com/fda-calendar
Simufilam,,,,2025-05-01,https://unusualwhales.com/fda-calendar
Nucala,,,,2025-05-07,https://unusualwhales.com/fda-calendar
ZORYVE,,,,2025-05-22,https://unusualwhales.com/fda-calendar
IO102-IO103 + KEYTRUDA,,,,2025-07-01,https://unusualwhales.com/fda-calendar
CTI-1601,,,,2025-07-01,https://unusualwhales.com/fda-calendar
CTI-1601,,,,2025-07-01,https://unusualwhales.com/fda-calendar
Afrezza,,,,2025-09-01,https://unusualwhales.com/fda-calendar
IMpactMF,,,,2026-01-01,https://unusualwhales.com/fda-calendar
SOTORASIB CODEBREAK 200,,,,2028-02-01,https://unusualwhales.com/fda-calendar
